siteID,year,season,total_count_per_100_trapnight,richness,domain_id,site_name,site_type,latitude,longitude,mean_elevation_m,minimum_elevation_m,maximum_elevation_m,mean_annual_temperature_C,mean_annual_precipitation_mm,dominant_wind_direction,mean_canopy_height_m,dominant_nlcd_classes,domint_plant_species,usgs_geology_unit,megapit_soil_family,soil_subgroup,avg_number_of_green_days,avg_green_max_doy
CPER,2013,summer,2.3333333333333335,3,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2014,spring,4.889417989417989,8,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2014,summer,7.6177777777777775,10,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2015,fall,14.907936507936508,10,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2015,spring,15.956325863678805,11,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2015,summer,16.552838959544257,9,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2016,fall,5.083333333333334,6,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2016,spring,33.53903903903904,10,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2016,summer,6.388888888888889,7,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2017,spring,5.416666666666667,6,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2017,summer,3.6666666666666665,4,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2018,spring,7.772222222222222,7,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2018,summer,8.583333333333334,8,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2019,spring,6.861111111111111,8,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2019,summer,7.208333333333333,7,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2020,fall,8.583333333333334,5,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2020,summer,9.291666666666666,8,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
CPER,2021,spring,6.333333333333333,5,D10,Central Plains Experimental Range NEON,Core Terrestrial,40.815536,-104.74559000000001,1654,1601,1686,8.6,344,NW,0.4,Grassland/Herbaceous,Bouteloua gracilis (Blue grama)|Hesperostipa comata (Needle-and-thread grass)|Thelesperma filifolium (Stiff greenthread),COKl;0,"Fine, loamy, mixed, superactive, mesic.  Aridic Argiustolls.",Aridic Argiustolls,260,165
OSBS,2013,fall,2.3333333333333335,1,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2013,summer,3.607142857142857,3,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2014,fall,1,1,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2014,spring,8.45,4,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2014,summer,4.625,3,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2015,fall,2,2,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2015,spring,7.430194805194805,4,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2015,summer,6.786111111111111,6,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2016,spring,5.869047619047619,5,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2016,summer,6.983333333333333,6,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2017,spring,13.356944444444444,6,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2017,summer,9.533333333333333,5,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2017,winter,3.5,3,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2018,fall,1,1,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2018,spring,7.977777777777778,4,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2018,summer,9.583333333333334,4,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2019,spring,5.2,4,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2019,summer,4.416666666666667,2,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2019,winter,3.5,3,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
OSBS,2020,spring,6.888888888888888,5,D03,Ordway-Swisher Biological Station NEON,Core Terrestrial,29.689282,-81.993431,46,22,49,20.9,1302,NE,23,Emergent Herbaceous Wetlands|Evergreen Forest|Woody Wetlands,Quercus laevis (turkey oak)|Pinus palustris (longleaf pine)|Aristida beyrichia (Beyrich threeawn),FLPOc;0,NA,Typic Quartzipsam-ments,245,150
