siteID,year,season,richness
ABBY,2020,summer,
ABBY,2021,spring,
BART,2020,summer,
BLAN,2020,summer,
BLAN,2021,spring,
BONA,2020,spring,
BONA,2020,summer,
CPER,2020,fall,
CPER,2020,summer,
CPER,2021,spring,
DCFS,2020,spring,
DCFS,2020,summer,
DCFS,2021,spring,
DEJU,2020,summer,
DEJU,2021,spring,
DSNY,2020,fall,
GRSM,2020,spring,
GRSM,2021,spring,
HARV,2020,fall,
HARV,2020,spring,
HARV,2020,summer,
HARV,2021,spring,
HEAL,2020,spring,
HEAL,2020,summer,
HEAL,2021,spring,
JERC,2020,spring,
KONA,2020,fall,
KONA,2020,spring,
KONA,2020,summer,
KONA,2021,spring,
KONZ,2020,fall,
KONZ,2020,spring,
KONZ,2020,summer,
MLBS,2020,fall,
MLBS,2021,spring,
NIWO,2020,summer,
NOGP,2020,spring,
NOGP,2020,summer,
NOGP,2021,spring,
ORNL,2020,spring,
ORNL,2021,spring,
OSBS,2020,spring,
OSBS,2021,spring,
RMNP,2020,fall,
RMNP,2020,summer,
RMNP,2021,spring,
SCBI,2020,summer,
SCBI,2020,winter,
SCBI,2021,spring,
SERC,2021,spring,
SJER,2020,winter,
SJER,2021,spring,
SRER,2020,fall,
SRER,2021,spring,
STEI,2020,spring,
STEI,2020,summer,
STEI,2021,spring,
STER,2020,summer,
STER,2021,spring,
TALL,2021,spring,
TREE,2020,spring,
TREE,2020,summer,
TREE,2021,spring,
UKFS,2020,spring,
UKFS,2020,summer,
UNDE,2020,spring,
UNDE,2020,summer,
WOOD,2020,spring,
WOOD,2020,summer,
WOOD,2021,spring,
WREF,2020,summer,
WREF,2021,spring,
